,B2B,Fintech,Consumer,Education,Real Estate and Construction,Healthcare,Industrials,Unspecified,Government
Summer 2010,16,2,16,1,1,0,0,0,0
Winter 2011,23,3,14,2,1,2,0,0,0
Summer 2011,30,4,18,3,2,3,0,0,0
Winter 2012,30,5,21,2,3,2,3,0,0
Summer 2012,43,3,27,5,0,4,1,0,0
Winter 2013,25,2,12,0,0,6,1,0,0
Summer 2013,26,4,15,2,1,4,0,0,0
Winter 2014,37,4,18,2,2,2,5,4,0
Summer 2014,27,10,22,0,1,10,6,1,1
Winter 2015,43,9,21,1,6,20,4,3,3
Summer 2015,41,9,25,3,3,11,10,2,0
Winter 2016,52,10,22,2,3,19,10,3,1
Summer 2016,31,7,32,4,4,11,10,2,1
Winter 2017,41,12,22,2,5,18,12,3,1
Summer 2017,27,14,33,6,6,19,16,0,4
Winter 2018,55,11,36,4,3,27,8,0,2
Summer 2018,45,14,18,4,3,37,9,0,1
Winter 2019,82,22,37,7,5,25,15,0,2
Summer 2019,70,25,27,5,11,24,12,0,2
Winter 2020,101,32,29,5,9,36,17,0,0
Summer 2020,108,24,27,4,5,32,6,0,2
Winter 2021,162,51,39,13,6,41,23,0,1
Summer 2021,180,63,39,15,8,65,20,0,1
Winter 2022,179,89,39,8,14,44,24,0,1
Summer 2022,121,43,21,1,9,25,14,0,0
Winter 2023,185,30,22,3,4,23,6,0,1
Summer 2023,152,16,9,3,6,28,5,0,0
Winter 2024,157,20,26,4,3,29,9,0,1
Summer 2024,160,12,19,1,4,23,25,0,4
Fall 2024,57,6,11,1,4,9,5,0,1
Winter 2025,104,13,9,5,2,12,18,0,4
Spring 2025,97,6,7,4,1,11,15,0,2
Summer 2025,116,8,10,2,4,12,13,0,1
Fall 2025,92,8,18,0,6,10,12,0,2
Winter 2026,127,18,7,0,3,16,27,0,0
Spring 2026,121,19,12,0,4,17,23,0,1
