,"B2B -> Engineering, Product and Design",Fintech -> Consumer Finance,B2B -> Productivity,B2B -> Finance and Accounting,B2B -> Infrastructure,Consumer -> Home and Personal,B2B -> Marketing,Education,Consumer -> Social,Consumer -> Consumer Electronics,Real Estate and Construction -> Housing and Real Estate,"Consumer -> Travel, Leisure and Tourism",B2B -> Analytics,B2B -> Retail,Consumer -> Gaming,Consumer -> Content,Consumer -> Apparel and Cosmetics,Healthcare -> Healthcare IT,B2B -> Office Management,B2B -> Sales,Fintech -> Payments,Consumer -> Food and Beverage,Consumer -> Job and Career Services,Fintech -> Asset Management,B2B -> Legal,B2B -> Recruiting and Talent,B2B,B2B -> Security,Healthcare -> Healthcare Services,Consumer -> Transportation Services,Consumer -> Virtual and Augmented Reality,Real Estate and Construction -> Construction,B2B -> Human Resources,Industrials,Industrials -> Manufacturing and Robotics,Industrials -> Agriculture,Fintech -> Credit and Lending,B2B -> Operations,Fintech -> Banking and Exchange,B2B -> Supply Chain and Logistics,Consumer,Healthcare -> Consumer Health and Wellness,Industrials -> Drones,Healthcare,Fintech,Industrials -> Automotive,Unspecified,Industrials -> Climate,Industrials -> Energy,Healthcare -> Industrial Bio,Government,Healthcare -> Diagnostics,Healthcare -> Drug Discovery and Delivery,Healthcare -> Medical Devices,Industrials -> Aviation and Space,Real Estate and Construction,Fintech -> Insurance,Industrials -> Defense,Healthcare -> Therapeutics
Summer 2010,3,2,5,1,2,4,3,1,6,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter 2011,3,1,5,0,3,4,3,2,2,1,1,0,1,5,2,1,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer 2011,2,4,4,0,9,5,6,3,4,1,2,0,3,0,2,2,0,2,0,2,0,2,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter 2012,8,1,6,0,4,5,4,2,4,0,2,0,1,1,2,4,2,1,0,0,3,1,0,0,0,2,1,0,1,2,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer 2012,9,1,7,0,3,6,4,5,3,2,0,2,3,1,1,7,1,2,0,3,0,2,0,1,0,2,3,0,1,1,0,0,2,0,0,0,0,4,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter 2013,2,1,3,1,5,4,1,0,0,0,0,2,3,5,0,0,3,2,0,0,0,1,0,1,0,1,0,0,3,1,1,0,2,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer 2013,7,0,3,0,2,4,3,2,1,4,1,0,0,4,0,1,2,0,0,0,0,2,0,0,2,1,1,0,1,0,1,0,1,0,0,0,0,0,3,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter 2014,7,0,3,4,2,4,4,2,3,4,2,2,1,4,0,0,2,0,5,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,2,1,1,1,2,2,0,0,2,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0
Summer 2014,3,1,2,2,4,4,4,0,2,1,1,2,1,2,1,2,2,4,3,3,3,4,1,2,0,0,0,0,1,3,0,0,2,0,3,1,1,0,3,1,0,2,0,1,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0
Winter 2015,7,2,4,4,4,7,8,1,4,2,4,1,1,6,0,2,1,3,0,0,2,2,1,2,0,2,1,3,1,1,0,2,0,0,0,0,0,0,3,3,0,6,1,0,0,0,3,1,1,2,3,3,2,3,1,0,0,0,0
Summer 2015,5,1,1,1,3,8,2,3,1,1,1,3,1,3,1,3,3,2,1,1,3,3,0,0,3,6,0,5,2,1,1,1,5,0,1,2,1,1,1,3,0,3,2,0,3,1,2,2,2,0,0,2,2,0,0,1,0,0,0
Winter 2016,10,1,6,2,4,4,5,2,3,5,2,0,2,5,2,0,4,3,2,4,2,2,0,2,0,2,2,4,2,1,1,1,2,0,1,2,2,0,1,2,0,5,0,0,0,2,3,0,2,1,1,4,1,3,3,0,2,0,0
Summer 2016,5,1,3,4,1,10,2,4,4,3,2,2,0,5,1,2,3,3,0,2,1,1,0,0,0,0,4,1,2,2,2,2,1,0,2,0,3,1,2,2,2,1,2,2,0,1,2,1,2,1,1,2,0,0,1,0,0,1,0
Winter 2017,3,2,6,0,4,6,3,2,3,1,5,0,1,3,0,2,0,4,5,3,2,3,1,2,0,2,2,2,3,1,1,0,3,0,4,3,2,2,2,2,4,3,1,1,0,1,3,1,1,1,1,2,2,1,1,0,2,0,1
Summer 2017,5,1,3,1,1,3,1,6,9,1,3,1,1,3,4,2,2,5,0,2,3,3,2,1,0,5,0,3,2,2,2,3,0,0,1,2,2,1,1,1,2,4,2,0,2,2,0,4,2,0,4,6,0,1,3,0,4,0,1
Winter 2018,13,2,5,3,2,3,4,4,6,0,2,2,2,3,4,6,2,6,0,1,2,6,0,1,3,4,3,5,6,1,3,1,4,0,4,3,1,1,2,2,3,2,0,0,1,0,0,1,0,1,2,1,3,3,0,0,2,0,5
Summer 2018,12,2,5,2,2,1,2,4,3,0,3,1,1,3,2,0,2,6,0,1,4,6,0,2,1,1,4,0,5,1,2,0,5,0,2,2,1,3,3,3,0,6,2,0,2,2,0,0,0,6,1,4,2,1,1,0,0,0,7
Winter 2019,17,4,7,3,3,5,2,7,4,0,4,3,3,3,4,4,1,4,2,5,3,9,0,2,2,7,4,3,3,1,1,1,2,0,5,1,4,10,4,9,5,3,0,1,3,1,0,3,2,2,2,4,0,1,3,0,2,0,7
Summer 2019,18,6,3,0,10,5,4,5,3,1,6,1,3,4,2,4,5,2,0,1,6,1,2,0,0,5,11,4,4,1,0,3,3,1,5,1,5,1,2,3,2,6,0,0,3,1,0,2,1,2,2,1,2,4,1,2,3,0,3
Winter 2020,20,5,10,3,10,4,3,5,4,1,6,0,6,10,4,3,2,2,1,5,7,4,2,1,0,4,8,3,2,2,0,3,3,1,5,1,8,6,7,9,3,11,1,1,2,2,0,3,1,2,0,5,7,2,3,0,2,0,4
Summer 2020,16,5,11,3,14,2,7,4,6,1,3,1,6,9,1,5,1,4,0,7,8,7,1,0,1,2,12,5,2,0,1,2,3,0,2,0,1,8,6,4,1,6,0,5,3,0,0,2,2,4,2,2,4,3,0,0,1,0,2
Winter 2021,32,7,12,13,13,7,8,13,2,1,4,0,5,9,1,4,3,13,0,5,11,9,3,4,2,6,20,4,3,1,1,2,4,1,5,0,11,19,8,10,7,8,0,3,5,2,0,3,5,2,1,3,0,3,6,0,5,1,6
Summer 2021,28,8,9,15,8,3,12,15,1,0,4,1,11,6,2,3,1,4,1,8,14,10,0,6,2,2,43,9,3,0,0,4,14,0,2,2,7,3,5,9,18,16,2,11,21,1,0,6,2,1,1,7,9,8,5,0,2,0,6
Winter 2022,27,7,11,7,18,1,13,8,3,2,6,1,12,5,1,8,1,6,0,7,16,5,0,8,2,2,35,10,8,0,1,4,9,2,3,1,11,9,3,12,16,8,1,6,37,2,0,10,2,2,1,3,2,6,3,4,7,0,3
Summer 2022,19,2,11,9,14,0,7,1,0,0,4,0,4,1,4,0,2,8,0,11,9,5,1,2,1,2,27,2,1,1,0,2,4,1,2,0,1,6,3,3,8,3,0,5,23,0,0,5,2,0,0,1,1,1,4,3,3,0,5
Winter 2023,45,5,5,13,16,2,5,3,0,0,1,0,11,3,1,5,1,6,1,11,6,1,0,2,3,0,45,8,2,0,0,1,1,3,0,0,3,13,1,5,12,1,0,4,13,0,0,0,1,1,1,1,7,0,2,2,0,0,1
Summer 2023,32,1,10,6,11,0,4,3,0,0,1,2,6,5,0,1,0,9,0,12,3,1,0,1,5,2,39,6,3,0,0,3,1,1,0,2,1,6,0,7,5,5,0,5,8,0,0,1,1,0,0,2,2,2,0,2,2,0,0
Winter 2024,41,1,7,3,12,0,3,4,2,2,1,1,8,1,1,7,0,9,0,8,4,0,0,3,3,1,49,5,1,0,0,2,1,0,3,0,1,9,1,6,13,3,0,8,7,0,0,0,1,0,1,1,0,1,4,0,3,1,6
Summer 2024,40,0,10,7,12,0,4,1,0,0,2,1,3,6,2,4,0,7,1,3,2,0,1,3,4,0,46,4,1,1,0,0,3,6,8,0,1,9,1,8,10,1,2,7,3,0,0,4,2,2,4,1,2,0,3,2,2,0,2
Fall 2024,16,1,3,2,7,0,1,1,1,1,0,1,0,1,0,1,0,2,0,5,0,0,0,0,2,1,13,1,0,0,0,3,0,0,1,0,0,3,0,2,7,1,0,6,4,1,0,0,0,0,1,0,0,0,3,1,1,0,0
Winter 2025,25,2,7,5,8,0,1,5,0,1,0,0,4,0,0,1,1,5,0,4,2,0,0,0,4,5,33,2,1,0,1,2,1,1,6,2,0,3,2,2,5,0,1,4,4,0,0,0,3,0,4,0,0,0,4,0,3,1,2
Spring 2025,24,1,4,4,9,0,1,4,0,1,0,0,3,2,1,0,0,4,0,3,0,0,0,0,4,0,30,8,2,0,0,1,0,2,9,0,1,1,1,4,5,2,0,3,1,0,0,1,1,0,2,0,0,0,2,0,2,0,0
Summer 2025,26,1,7,2,13,0,4,2,1,0,1,0,7,1,0,1,0,6,0,5,1,0,0,0,2,1,35,3,0,0,0,0,1,3,6,1,1,3,0,6,8,0,0,3,3,1,0,0,0,0,1,0,2,0,0,3,2,2,1
Fall 2025,23,2,2,4,7,0,6,0,1,1,3,0,2,1,2,3,0,2,0,5,1,0,0,0,2,0,32,3,0,0,0,2,1,0,8,0,0,2,0,2,11,1,0,6,2,0,0,0,1,0,2,0,1,0,1,1,3,2,0
Winter 2026,19,2,7,6,24,0,1,0,0,1,0,0,3,0,3,0,0,4,0,2,2,0,0,0,6,0,44,6,2,0,0,1,1,6,5,1,2,6,2,2,3,1,2,5,8,0,0,1,6,0,0,0,4,0,4,2,2,2,0
Spring 2026,16,3,8,2,20,0,9,0,0,1,1,0,3,1,2,1,0,1,0,2,2,0,1,5,2,3,37,3,4,0,0,1,0,0,11,0,1,10,1,5,7,2,1,5,2,0,0,0,3,1,1,1,1,1,2,2,5,6,1
