,DevOps,Monitoring,Fintech,Productivity,Note-taking,FinOps,Analytics,Open Source,Enterprise Software,E-commerce,Food & Beverage,Marketing,SEO,Education,Community,Recruiting,Advertising,Social Network,Computer Vision,Marketplace,Real Estate,Collaboration,Security,Enterprise,Email,Travel,Food Service Robots & Machines,Restaurant Tech,Gaming,Social,Messaging,Media,Design Tools,Health & Wellness,Design,AI-powered Drug Discovery,SaaS,Healthcare,Telemedicine,API,Food,Food Tech,B2B,Payments,Developer Tools,E-Commerce,Referrals,Customer Service,Cashierless Checkout,Entertainment,Retail Tech,Music,Hardware,SMB,Finance,Investing,Data Science,Data Engineering,Cloud Computing,Health Tech,Fitness,Retail,Fashion,Documents,Legal,LegalTech,Machine Learning,GraphQL,Video,Sales,AI,Big Data,Databases,Cloud Workload Protection,DevSecOps,Next-gen Network Security,Biotech,Grocery,IoT,Automotive,Proptech,Delivery,Transportation,Location-based,CRM,Telecommunications,Augmented Reality,Insurance,Reviews,Data Visualization,Construction,Payroll,Health Insurance,Defense,Hard Tech,Robotics,Manufacturing,Automation,HR Tech,Agriculture,Crowdfunding,Social Media,Consumer,Nonprofit,Fundraising,Privacy,Women's Health,Kids,No-code,Web Development,Lending,Dating,Coding Bootcamps,Crypto / Web3,Human Resources,Talent Acquisition,SMS,AI Assistant,Apparel,Customization,Diagnostics,Metaverse,eLearning,Edtech,Customer Success,Sustainable Tourism,Sustainability,Electric Vehicles,Personalization,Booking,Calendar,Mobility,Logistics,Supply Chain,3D Printing,Consumer Health Services,Drones,Artificial Intelligence,Biometrics,Time Series,Remote Work,Medical Devices,Team Collaboration,Neurotechnology,Workflow Automation,Subscriptions,Indoor Mapping,Mental Health Tech,Digital Health,Feedback,Remote,Immigration,Femtech,Autonomous Delivery,Climate,Self-Driving Vehicles,Generative AI,Energy Storage,Housing,Networks,Notifications,Beauty,Furniture,NLP,APIs,Sales Enablement,Smart Home Assistants,Ticketing,Deep Learning,Advanced Materials,Small Modular Reactors,Quantum Computing,Synthetic Biology,Compliance,Identity,Fusion Energy,Energy,Navigation,Market Research,International,Genomics,Cellular Agriculture,GovTech,Neobank,Telehealth,AIOps,Genetic Engineering,Biotechnology,Air Taxis,Nanomedicine,Banking as a Service,India,Therapeutics,Mental Health,Conversational AI,Cannabis,Carbon Capture and Removal,Bioplastic,Virtual Reality,Creator Economy,Conversational Banking,Renewable Energy,Drug discovery,Oncology,Solar Power,Kubernetes,Civic Tech,Procurement,Cybersecurity,Fraud Prevention,Fraud Detection,Sleep Tech,Space Exploration,Satellites,Scheduling,Stocks,Primary Care,Vertical Farming,Sustainable Agriculture,Cloud Gaming,China,Smart Locks,ClimateTech,eSports,Blockchain,Autonomous Trucking,Latin America,Chatbots,AI-Enhanced Learning,Diversity & Inclusion,Aerospace,Rocketry,Industrial Workplace Safety,Emerging Markets,Consumer Products,Sports Tech,Operations,Unmanned Vehicle,Home Automation,Trading,Auto Commerce,Live,Reinforcement Learning,Warehouse Management Tech,Nanotechnology,AR,Home Services,Smart Clothing,Sustainable Fashion,Assistive Tech,Cryptography,Customer Support,VR Health,Airlines,Cryptocurrency,Nanosensors,Healthcare IT,Gene Therapy,Microfluidics,Cell Therapy,Industrial,Microinsurance,Airplanes,Alternative Battery Tech,Crowdsourcing,Podcasts,Robotic Process Automation,Remittances,Infrastructure,Fertility Tech,Anti-Aging,Speech Recognition,Radar,Ghost Kitchens,Cyber Insurance,ML,Chat,COVID-19,Ridesharing,Careers,NFT,Robotic Surgery,Drug Delivery,Pediatrics,3D Printed Foods,Culture,Income Share Agreements,Dental,Lab-on-a-chip,Commercial Space Launch,Chatbot,Mining,Consumer Finance,Plant-based Meat,Cultivated Meat,Computational Storage,Regtech,Election Tech,DeFi,IoT Security,Weather,CRISPR,Data Labeling,Alternative Fuels,Medical Robotics,Investments,Geographic Information System,Batteryless IoT Sensors,Edge Computing Semiconductors,"Security Orchestration, Automation and Response (SOAR)",Digital Freight Brokerage,Electronics,Psychedelics,Semiconductors,Maritime,Cultured Meat,Gardening,Search,Billing,Art Trading Platforms,Deepfake Detection,Hydrogen Energy,Clean Meat,Recommendation System,Skincare,Trust & Safety,Architecture,Call Center,DAO,Lidar,Swarm Robotics,Livestock Health
Summer 2010,2,1,2,3,1,1,4,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter 2011,0,0,2,2,0,0,2,0,1,1,1,1,0,2,1,1,1,0,1,8,1,1,0,1,1,0,0,0,2,0,3,0,1,0,0,0,7,1,1,3,1,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer 2011,1,0,3,2,0,0,3,2,0,1,0,2,0,4,0,1,3,1,0,4,2,2,0,1,1,0,0,0,1,1,1,0,0,0,0,0,11,1,0,0,0,1,6,1,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,1,4,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter 2012,1,0,5,3,0,0,4,0,0,0,0,3,0,2,0,1,0,1,2,5,1,3,3,3,1,2,0,0,3,5,5,2,0,0,1,0,6,2,0,1,0,0,5,2,3,2,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,2,2,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer 2012,1,0,2,0,0,0,5,1,0,4,0,2,0,5,1,0,5,2,0,3,0,1,1,0,1,3,0,0,1,4,1,2,2,0,2,0,11,1,0,1,0,1,6,0,5,3,0,0,0,2,0,1,1,0,1,2,0,0,2,2,0,1,1,0,0,0,0,0,6,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,1,2,1,1,1,0,2,1,2,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter 2013,0,0,2,0,0,0,6,1,0,4,0,0,0,2,0,1,0,0,0,6,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,2,1,3,0,0,0,0,1,1,4,0,0,1,0,3,0,1,0,1,2,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer 2013,2,1,3,3,0,0,2,1,0,2,1,2,0,4,0,1,1,0,0,6,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,4,0,0,1,0,0,4,2,3,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter 2014,0,0,7,2,0,1,3,1,1,2,1,0,0,5,1,0,2,0,0,7,1,0,1,1,1,2,0,0,2,0,2,1,0,2,0,0,12,0,0,1,0,0,8,1,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,3,1,0,0,0,3,0,2,0,2,0,0,0,0,0,1,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer 2014,2,1,8,0,0,0,5,1,1,4,3,3,0,2,2,0,1,0,1,7,0,0,1,0,1,1,0,0,3,0,1,1,0,2,0,0,7,1,0,1,0,0,5,3,2,0,0,0,0,0,0,0,2,0,0,1,0,0,1,4,0,0,0,0,0,1,4,0,0,2,0,0,0,0,1,0,1,0,3,1,0,1,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,2,1,1,2,1,3,1,0,1,1,0,0,1,0,0,0,4,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter 2015,2,0,8,1,0,0,4,3,1,4,1,1,0,1,0,0,3,0,3,7,3,2,3,2,0,3,1,2,0,3,2,1,2,0,0,1,13,4,0,1,0,3,6,4,6,3,1,0,1,0,1,0,2,0,0,3,1,2,1,3,0,3,0,0,0,0,7,0,1,0,6,0,0,0,2,0,5,0,2,0,2,1,3,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,2,1,1,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,1,0,1,1,2,0,3,1,8,0,0,0,4,1,0,0,1,0,0,2,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
