,baseline_share,recent_share,change
agents,0.09333684505223316,0.14998423853769094,0.056647393485457775
ai,0.43066634950442445,0.4734608309389668,0.04279448143454234
ai agents,0.05243322088369989,0.09356258832208314,0.04112936743838325
real,0.02210898630042496,0.042850366657014576,0.020741380356589616
agentic,0.015972041101196377,0.03621013298173716,0.020238091880540786
layer,0.01169891713112138,0.03029113422973126,0.01859221709860988
autonomous,0.008846235442948614,0.02601005050396525,0.017163815061016635
infrastructure,0.014091512615094916,0.030496076441278573,0.016404563826183657
firm,0.0008741258741258741,0.014155758510079348,0.013281632635953474
drones,0.0005040322580645161,0.013321860468059478,0.012817828209994962
layer ai,0.0020010382460884683,0.013991821228381683,0.011990782982293214
run,0.006703926440303295,0.017852751297953426,0.01114882485765013
production,0.0030234133392129142,0.013616916478362263,0.010593503139149349
human,0.005359783883093863,0.015681010417570872,0.01032122653447701
self,0.005338843538017087,0.01507769166857296,0.009738848130555873
scale,0.005060482716547755,0.014168577050816668,0.009108094334268914
intelligence,0.015322863389363311,0.02434904770388839,0.00902618431452508
law,0.0034960200081764186,0.012520392791477129,0.00902437278330071
defense,0.0017565675101410083,0.010143709699547263,0.008387142189406255
team,0.003846443092138494,0.011216761599001219,0.007370318506862724
foundation,0.005217826200048548,0.012466569320890158,0.00724874312084161
robots,0.011177795657166943,0.01826008641341037,0.007082290756243427
markets,0.003901601735838784,0.01079019867243829,0.006888596936599506
frontier,0.0037099372045539696,0.010428112463156192,0.006718175258602223
hardware,0.005133739662483865,0.011697147996151114,0.00656340833366725
marketing,0.006298818181941546,0.012309041309561156,0.00601022312761961
models,0.015805547118924533,0.020839162409249865,0.0050336152903253314
workflows,0.006392261059995924,0.011210352328632555,0.004818091268636631
os,0.006657777090776611,0.011020777965460249,0.004363000874683638
insurance,0.01663936887951634,0.020981322572203864,0.0043419536926875245
estate,0.006267784422757741,0.010604868285591177,0.004337083862833436
agent,0.029493254487304468,0.0336396315503098,0.004146377063005333
operating system,0.015194869652827755,0.019238309912427705,0.00404344025959995
teams,0.01777734404319379,0.02159105059157044,0.0038137065483766497
consumer,0.006811531521078026,0.010607033579634644,0.003795502058556618
physical,0.006712748430818212,0.01013089115880994,0.0034181427279917284
care,0.007872519061658204,0.011210352328632555,0.0033378332669743507
operating,0.015943372646839732,0.019238309912427705,0.003294937265587973
automate,0.018189805744892942,0.021194839348163307,0.003005033603270365
enterprise,0.015407609684076486,0.018029507120388415,0.002621897436311929
ai operating,0.008358003637840736,0.010973363765241939,0.002615360127401203
ai operating system,0.008358003637840736,0.010973363765241939,0.002615360127401203
work,0.008647102292867094,0.011020777965460249,0.0023736756725931552
coding,0.011354307316769518,0.01351567880755698,0.0021613714907874615
research,0.010850353278720339,0.01247938786162748,0.0016290345829071406
system,0.025667208720597384,0.026660783453181472,0.0009935747325840877
operations,0.017059363136530423,0.01797568364980144,0.0009163205132710177
real time,0.010753251714836461,0.011630505984826822,0.0008772542699903609
design,0.009681001776974962,0.010191123899765574,0.0005101221227906128
video,0.015004202839506502,0.015485026784029906,0.00048082394452340395
automating,0.012321018742406497,0.01038069826293788,-0.0019403204794686164
security,0.012767104546482885,0.01079019867243829,-0.0019769058740445947
engineering,0.012995019067159323,0.010794442648763485,-0.002200576418395838
time,0.014733182802261447,0.011630505984826822,-0.0031026768174346256
voice,0.024236324886641,0.02000950834355519,-0.00422681654308581
code,0.017506361311129547,0.012953364988408718,-0.004552996322720829
api,0.0164775723480985,0.010977607741567133,-0.005499964606531368
healthcare,0.01894702909683922,0.01247938786162748,-0.006467641235211742
data,0.051331376757381336,0.04175808694645463,-0.009573289810926706
open,0.033135319264955,0.014105877439924287,-0.01902944182503071
