,baseline_share,recent_share,change
B2B,0.1732080344899612,0.2092747677039158,0.036066733213954594
B2B -> Infrastructure,0.05629259230425347,0.08708637854026516,0.030793786236011686
Industrials -> Manufacturing and Robotics,0.02029459629452502,0.04282218026790224,0.022527583973377223
Industrials -> Defense,0.00125051102614049,0.01652989229437153,0.015279381268231041
B2B -> Marketing,0.014778012390781518,0.02884317758025788,0.014065165189476363
Fintech -> Insurance,0.010581753190824432,0.016950045950565797,0.006368292759741365
Industrials -> Energy,0.006725064108065223,0.013072053363931538,0.006346989255866315
Real Estate and Construction,0.005994377123275301,0.011270585069588189,0.005276207946312888
Healthcare -> Drug Discovery and Delivery,0.005877235718666898,0.011020777965460249,0.005143542246793351
Consumer -> Gaming,0.004977154938697601,0.009704328232247015,0.004727173293549414
Industrials,0.007994525719232749,0.012093829864914203,0.0040993041456814545
Real Estate and Construction -> Housing and Real Estate,0.004673805320279489,0.007842627196948034,0.0031688218766685447
Fintech -> Consumer Finance,0.008123101350214943,0.011216761599001219,0.003093660248786276
Industrials -> Drones,0.0017565675101410083,0.0037942880582474492,0.002037720548106441
Consumer,0.04158992008409058,0.04330040137100867,0.0017104812869180933
Fintech -> Credit and Lending,0.004353743592900833,0.005300312154632992,0.0009465685617321591
Healthcare -> Healthcare Services,0.006661720592892164,0.007601394657232221,0.0009396740643400573
Consumer -> Social,0.002333803298299581,0.0031952132855747315,0.0008614099872751506
Fintech -> Asset Management,0.005569681953787009,0.006345177664974619,0.0007754957111876098
Consumer -> Consumer Electronics,0.003956432166437431,0.0042208509848103756,0.0002644188183729447
Consumer -> Job and Career Services,0.0010382202922525504,0.0012690355329949238,0.0002308152407423734
Industrials -> Automotive,0.0013297872340425532,0.0015060240963855422,0.0001762368623429891
Industrials -> Agriculture,0.0026385584994394772,0.0027686503590118048,0.00013009185957232753
Unspecified,0.0,0.0,0.0
Healthcare -> Industrial Bio,0.001464268895691076,0.0012690355329949238,-0.00019523336269615214
B2B -> Analytics,0.021724208475828382,0.021515532439940734,-0.0002086760358876484
B2B -> Operations,0.028723801843708083,0.02816256357324182,-0.0005612382704662626
Consumer -> Virtual and Augmented Reality,0.0007485029940119761,0.0,-0.0007485029940119761
Healthcare -> Medical Devices,0.0021777485777320733,0.0012690355329949238,-0.0009087130447371495
Consumer -> Home and Personal,0.0009124087591240876,0.0,-0.0009124087591240876
B2B -> Legal,0.01742892552069309,0.016504255212896887,-0.0009246703077962042
B2B -> Office Management,0.0009602366376265599,0.0,-0.0009602366376265599
Consumer -> Transportation Services,0.0010382202922525504,0.0,-0.0010382202922525504
Healthcare,0.02848904203388773,0.027311516402397693,-0.001177525631490036
B2B -> Supply Chain and Logistics,0.022576410000228427,0.021284953146918778,-0.0012914568533096485
B2B -> Human Resources,0.005926340572355982,0.004457839548200994,-0.0014685010241549876
B2B -> Security,0.022488638047093126,0.020968504031466544,-0.0015201340156265827
Fintech -> Banking and Exchange,0.005435940634469003,0.0037942880582474492,-0.0016416525762215535
Healthcare -> Diagnostics,0.0031379852153586335,0.0012690355329949238,-0.0018689496823637098
B2B -> Productivity,0.03514461779321597,0.032911215155420406,-0.002233402637795562
Consumer -> Apparel and Cosmetics,0.002273083441950088,0.0,-0.002273083441950088
B2B -> Recruiting and Talent,0.007784238816022541,0.005313130695370314,-0.0024711081206522266
Consumer -> Content,0.010460273638730174,0.007842627196948034,-0.00261764644178214
Government,0.009046392402290828,0.006153438007758845,-0.002892954394531983
"Consumer -> Travel, Leisure and Tourism",0.0034773800356511083,0.0,-0.0034773800356511083
Consumer -> Food and Beverage,0.003697920806209977,0.0,-0.003697920806209977
Healthcare -> Consumer Health and Wellness,0.010000745097409319,0.0054898865178053,-0.004510858579604019
Real Estate and Construction -> Construction,0.010601418843595913,0.005910040173999565,-0.004691378669596348
Industrials -> Climate,0.006131971333031872,0.0012626262626262627,-0.004869345070405609
Fintech -> Payments,0.0137703499848549,0.008258536876817105,-0.005511813108037795
Healthcare -> Therapeutics,0.008644263247426284,0.002775059629380466,-0.005869203618045818
Industrials -> Aviation and Space,0.01530091522501114,0.009277765305684088,-0.006023149919327052
B2B -> Retail,0.01136092301422289,0.004464248818569655,-0.006896674195653235
B2B -> Finance and Accounting,0.02909584961373109,0.019882633591275265,-0.009213216022455825
Healthcare -> Healthcare IT,0.030092607882503123,0.018734063540191605,-0.011358544342311518
Education,0.014696000027181955,0.0030120481927710845,-0.011683951834410872
B2B -> Sales,0.03553711841960396,0.02103939001911603,-0.014497728400487932
Fintech,0.036996631551730594,0.020535531834534958,-0.016461099717195636
"B2B -> Engineering, Product and Design",0.15065542112636396,0.12230244537519322,-0.02835297575117074
