,baseline_share,recent_share,change
Robotics,0.020547528048560713,0.02780255604624145,0.007255027997680737
Hardware,0.015909191629555574,0.02296556777169584,0.0070563761421402645
Industrial,0.006637520674788153,0.011274829045913384,0.004637308371125231
Drones,0.001996432703943108,0.005720465810827257,0.003724033106884149
Architecture,0.000502008032128514,0.0033783783783783786,0.0028763703462498643
Crowdsourcing,0.0,0.002775059629380466,0.002775059629380466
Biotechnology,0.0017867232862645265,0.004457839548200994,0.0026711162619364676
Deep Learning,0.004971804707465703,0.007416064270385107,0.0024442595629194036
Genetic Engineering,0.0005707762557077625,0.002958224722184113,0.0023874484664763505
Advertising,0.005750274824586632,0.008025792289751681,0.002275517465165049
Restaurant Tech,0.0010269806352698062,0.0031952132855747315,0.0021682326503049253
Chat,0.0007485029940119761,0.002775059629380466,0.00202655663536849
Reinforcement Learning,0.011616893694293974,0.013616916478362263,0.0020000227840682883
Genomics,0.0,0.0016891891891891893,0.0016891891891891893
Smart Home Assistants,0.0,0.0016891891891891893,0.0016891891891891893
Biometrics,0.0,0.0016891891891891893,0.0016891891891891893
Agriculture,0.002615036838153343,0.0042746744553973474,0.0016596376172440044
Maritime,0.0,0.0015060240963855422,0.0015060240963855422
Networks,0.0,0.0015060240963855422,0.0015060240963855422
Advanced Materials,0.0,0.0015060240963855422,0.0015060240963855422
Note-taking,0.0,0.0015060240963855422,0.0015060240963855422
IoT Security,0.0,0.0015060240963855422,0.0015060240963855422
Geographic Information System,0.0,0.0015060240963855422,0.0015060240963855422
Livestock Health,0.0,0.0015060240963855422,0.0015060240963855422
Defense,0.0018338194921070693,0.0031952132855747315,0.0013613937934676623
Design,0.008449750503060753,0.00976880494952784,0.0013190544464670873
Calendar,0.0,0.0012626262626262627,0.0012626262626262627
Culture,0.0,0.0012626262626262627,0.0012626262626262627
Home Automation,0.0005707762557077625,0.0016891891891891893,0.0011184129334814268
Sports Tech,0.0023188870945165586,0.0033783783783783786,0.00105949128386182
Speech Recognition,0.000502008032128514,0.0015060240963855422,0.0010040160642570282
Mental Health,0.0005040322580645161,0.0015060240963855422,0.0010019918383210261
Fusion Energy,0.0007485029940119761,0.0016891891891891893,0.0009406861951772132
Investments,0.0009582124116905578,0.0016891891891891893,0.0007309767774986315
Scheduling,0.0005341880341880342,0.0012626262626262627,0.0007284382284382285
Lending,0.0020442605824455805,0.0027686503590118048,0.0007243897765662243
Music,0.001004016064257028,0.0016891891891891893,0.0006851731249321613
Women's Health,0.0010269806352698062,0.0016891891891891893,0.0006622085539193831
3D Printing,0.0008741258741258741,0.0015060240963855422,0.0006318982222596681
Big Data,0.007146293712170542,0.007659462104144386,0.0005131683919738445
Immigration,0.0012525352520764922,0.0016891891891891893,0.0004366539371126971
Drug Delivery,0.0011049642898957968,0.0015060240963855422,0.0004010598064897455
APIs,0.0013761339062543882,0.0016891891891891893,0.00031305528293480104
Health & Wellness,0.004338973699518166,0.004647413911373303,0.00030844021185513684
Remote Work,0.0009582124116905578,0.0012626262626262627,0.00030441385093570494
Edge Computing Semiconductors,0.0012525352520764922,0.0015060240963855422,0.00025348884430905004
Market Research,0.004483428995514726,0.004701237381960274,0.0002178083864455482
Cybersecurity,0.011076381364827642,0.011274829045913384,0.00019844768108574252
Construction,0.010216211701066381,0.01036787972220056,0.00015166802113417838
Kubernetes,0.0015611686694578407,0.0016891891891891893,0.00012802051973134863
COVID-19,0.0,0.0,0.0
Cashierless Checkout,0.0,0.0,0.0
Plant-based Meat,0.0,0.0,0.0
Cultivated Meat,0.0,0.0,0.0
Computational Storage,0.0,0.0,0.0
Election Tech,0.0,0.0,0.0
Weather,0.0,0.0,0.0
Alternative Fuels,0.0,0.0,0.0
DAO,0.0,0.0,0.0
Skincare,0.0,0.0,0.0
Batteryless IoT Sensors,0.0,0.0,0.0
Stocks,0.0,0.0,0.0
Primary Care,0.0,0.0,0.0
Vertical Farming,0.0,0.0,0.0
Sustainable Agriculture,0.0,0.0,0.0
China,0.0,0.0,0.0
Cloud Gaming,0.0,0.0,0.0
Smart Locks,0.0,0.0,0.0
eSports,0.0,0.0,0.0
Industrial Workplace Safety,0.0,0.0,0.0
Blockchain,0.0,0.0,0.0
Autonomous Trucking,0.0,0.0,0.0
Diversity & Inclusion,0.0,0.0,0.0
VR Health,0.0,0.0,0.0
Cryptography,0.0,0.0,0.0
Assistive Tech,0.0,0.0,0.0
Smart Clothing,0.0,0.0,0.0
E-Commerce,0.0,0.0,0.0
Referrals,0.0,0.0,0.0
Cyber Insurance,0.0,0.0,0.0
Radar,0.0,0.0,0.0
Alternative Battery Tech,0.0,0.0,0.0
Microinsurance,0.0,0.0,0.0
Anti-Aging,0.0,0.0,0.0
Fertility Tech,0.0,0.0,0.0
Income Share Agreements,0.0,0.0,0.0
