,B2B,Fintech,Consumer,Education,Real Estate and Construction,Healthcare,Industrials,Unspecified,Government
Summer 2010,0.4444444444444444,0.05555555555555555,0.4444444444444444,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0
Winter 2011,0.5111111111111111,0.06666666666666667,0.3111111111111111,0.044444444444444446,0.022222222222222223,0.044444444444444446,0.0,0.0,0.0
Summer 2011,0.5,0.06666666666666667,0.3,0.05,0.03333333333333333,0.05,0.0,0.0,0.0
Winter 2012,0.45454545454545453,0.07575757575757576,0.3181818181818182,0.030303030303030304,0.045454545454545456,0.030303030303030304,0.045454545454545456,0.0,0.0
Summer 2012,0.5180722891566265,0.03614457831325301,0.3253012048192771,0.060240963855421686,0.0,0.04819277108433735,0.012048192771084338,0.0,0.0
Winter 2013,0.5434782608695652,0.043478260869565216,0.2608695652173913,0.0,0.0,0.13043478260869565,0.021739130434782608,0.0,0.0
Summer 2013,0.5,0.07692307692307693,0.28846153846153844,0.038461538461538464,0.019230769230769232,0.07692307692307693,0.0,0.0,0.0
Winter 2014,0.5,0.05405405405405406,0.24324324324324326,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.06756756756756757,0.05405405405405406,0.0
Summer 2014,0.34615384615384615,0.1282051282051282,0.28205128205128205,0.0,0.01282051282051282,0.1282051282051282,0.07692307692307693,0.01282051282051282,0.01282051282051282
Winter 2015,0.39090909090909093,0.08181818181818182,0.19090909090909092,0.00909090909090909,0.05454545454545454,0.18181818181818182,0.03636363636363636,0.02727272727272727,0.02727272727272727
Summer 2015,0.3942307692307692,0.08653846153846154,0.2403846153846154,0.028846153846153848,0.028846153846153848,0.10576923076923077,0.09615384615384616,0.019230769230769232,0.0
Winter 2016,0.4262295081967213,0.08196721311475409,0.18032786885245902,0.01639344262295082,0.02459016393442623,0.1557377049180328,0.08196721311475409,0.02459016393442623,0.00819672131147541
Summer 2016,0.30392156862745096,0.06862745098039216,0.3137254901960784,0.0392156862745098,0.0392156862745098,0.10784313725490197,0.09803921568627451,0.0196078431372549,0.00980392156862745
Winter 2017,0.35344827586206895,0.10344827586206896,0.1896551724137931,0.017241379310344827,0.04310344827586207,0.15517241379310345,0.10344827586206896,0.02586206896551724,0.008620689655172414
Summer 2017,0.216,0.112,0.264,0.048,0.048,0.152,0.128,0.0,0.032
