,"B2B -> Engineering, Product and Design",Fintech -> Consumer Finance,B2B -> Productivity,B2B -> Finance and Accounting,B2B -> Infrastructure,Consumer -> Home and Personal,B2B -> Marketing,Education,Consumer -> Social,Consumer -> Consumer Electronics,Real Estate and Construction -> Housing and Real Estate,"Consumer -> Travel, Leisure and Tourism",B2B -> Analytics,B2B -> Retail,Consumer -> Gaming,Consumer -> Content,Consumer -> Apparel and Cosmetics,Healthcare -> Healthcare IT,B2B -> Office Management,B2B -> Sales,Fintech -> Payments,Consumer -> Food and Beverage,Consumer -> Job and Career Services,Fintech -> Asset Management,B2B -> Legal,B2B -> Recruiting and Talent,B2B,B2B -> Security,Healthcare -> Healthcare Services,Consumer -> Transportation Services,Consumer -> Virtual and Augmented Reality,Real Estate and Construction -> Construction,B2B -> Human Resources,Industrials,Industrials -> Manufacturing and Robotics,Industrials -> Agriculture,Fintech -> Credit and Lending,B2B -> Operations,Fintech -> Banking and Exchange,B2B -> Supply Chain and Logistics,Consumer,Healthcare -> Consumer Health and Wellness,Industrials -> Drones,Healthcare,Fintech,Industrials -> Automotive,Unspecified,Industrials -> Climate,Industrials -> Energy,Healthcare -> Industrial Bio,Government,Healthcare -> Diagnostics,Healthcare -> Drug Discovery and Delivery,Healthcare -> Medical Devices,Industrials -> Aviation and Space,Real Estate and Construction,Fintech -> Insurance,Industrials -> Defense,Healthcare -> Therapeutics
Summer 2010,0.08333333333333333,0.05555555555555555,0.1388888888888889,0.027777777777777776,0.05555555555555555,0.1111111111111111,0.08333333333333333,0.027777777777777776,0.16666666666666666,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.08333333333333333,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter 2011,0.06666666666666667,0.022222222222222223,0.1111111111111111,0.0,0.06666666666666667,0.08888888888888889,0.06666666666666667,0.044444444444444446,0.044444444444444446,0.022222222222222223,0.022222222222222223,0.0,0.022222222222222223,0.1111111111111111,0.044444444444444446,0.022222222222222223,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Summer 2011,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.15,0.08333333333333333,0.1,0.05,0.06666666666666667,0.016666666666666666,0.03333333333333333,0.0,0.05,0.0,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter 2012,0.12121212121212122,0.015151515151515152,0.09090909090909091,0.0,0.06060606060606061,0.07575757575757576,0.06060606060606061,0.030303030303030304,0.06060606060606061,0.0,0.030303030303030304,0.0,0.015151515151515152,0.015151515151515152,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.015151515151515152,0.0,0.0,0.045454545454545456,0.015151515151515152,0.0,0.0,0.0,0.030303030303030304,0.015151515151515152,0.0,0.015151515151515152,0.030303030303030304,0.015151515151515152,0.015151515151515152,0.030303030303030304,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Summer 2012,0.10843373493975904,0.012048192771084338,0.08433734939759036,0.0,0.03614457831325301,0.07228915662650602,0.04819277108433735,0.060240963855421686,0.03614457831325301,0.024096385542168676,0.0,0.024096385542168676,0.03614457831325301,0.012048192771084338,0.012048192771084338,0.08433734939759036,0.012048192771084338,0.024096385542168676,0.0,0.03614457831325301,0.0,0.024096385542168676,0.0,0.012048192771084338,0.0,0.024096385542168676,0.03614457831325301,0.0,0.012048192771084338,0.012048192771084338,0.0,0.0,0.024096385542168676,0.0,0.0,0.0,0.0,0.04819277108433735,0.012048192771084338,0.024096385542168676,0.024096385542168676,0.012048192771084338,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter 2013,0.043478260869565216,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.10869565217391304,0.08695652173913043,0.021739130434782608,0.0,0.0,0.0,0.0,0.043478260869565216,0.06521739130434782,0.10869565217391304,0.0,0.0,0.06521739130434782,0.043478260869565216,0.0,0.0,0.0,0.021739130434782608,0.0,0.021739130434782608,0.0,0.021739130434782608,0.0,0.0,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.021739130434782608,0.0,0.0,0.021739130434782608,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Summer 2013,0.1346153846153846,0.0,0.057692307692307696,0.0,0.038461538461538464,0.07692307692307693,0.057692307692307696,0.038461538461538464,0.019230769230769232,0.07692307692307693,0.019230769230769232,0.0,0.0,0.07692307692307693,0.0,0.019230769230769232,0.038461538461538464,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.019230769230769232,0.019230769230769232,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.057692307692307696,0.038461538461538464,0.0,0.057692307692307696,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter 2014,0.0945945945945946,0.0,0.04054054054054054,0.05405405405405406,0.02702702702702703,0.05405405405405406,0.05405405405405406,0.02702702702702703,0.04054054054054054,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.013513513513513514,0.05405405405405406,0.0,0.0,0.02702702702702703,0.0,0.06756756756756757,0.04054054054054054,0.0,0.013513513513513514,0.0,0.02702702702702703,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.02702702702702703,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.02702702702702703,0.02702702702702703,0.0,0.0,0.02702702702702703,0.0,0.013513513513513514,0.05405405405405406,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Summer 2014,0.038461538461538464,0.01282051282051282,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.0,0.02564102564102564,0.01282051282051282,0.01282051282051282,0.02564102564102564,0.01282051282051282,0.02564102564102564,0.01282051282051282,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.05128205128205128,0.01282051282051282,0.02564102564102564,0.0,0.0,0.0,0.0,0.01282051282051282,0.038461538461538464,0.0,0.0,0.02564102564102564,0.0,0.038461538461538464,0.01282051282051282,0.01282051282051282,0.0,0.038461538461538464,0.01282051282051282,0.0,0.02564102564102564,0.0,0.01282051282051282,0.0,0.0,0.01282051282051282,0.0,0.02564102564102564,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter 2015,0.06363636363636363,0.01818181818181818,0.03636363636363636,0.03636363636363636,0.03636363636363636,0.06363636363636363,0.07272727272727272,0.00909090909090909,0.03636363636363636,0.01818181818181818,0.03636363636363636,0.00909090909090909,0.00909090909090909,0.05454545454545454,0.0,0.01818181818181818,0.00909090909090909,0.02727272727272727,0.0,0.0,0.01818181818181818,0.01818181818181818,0.00909090909090909,0.01818181818181818,0.0,0.01818181818181818,0.00909090909090909,0.02727272727272727,0.00909090909090909,0.00909090909090909,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.02727272727272727,0.02727272727272727,0.0,0.05454545454545454,0.00909090909090909,0.0,0.0,0.0,0.02727272727272727,0.00909090909090909,0.00909090909090909,0.01818181818181818,0.02727272727272727,0.02727272727272727,0.01818181818181818,0.02727272727272727,0.00909090909090909,0.0,0.0,0.0,0.0
